tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1905144375325122806',"@WilliamShatner Hop in, let’s go to Mars!",en,Reply,1,145,10,46,1155,2025-03-27 02:26:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905026811584733690',"RT @WilliamShatner: Have I ever said anything bad about him?🤔🤷🏼 
No matter how murky the present may seem, the future is very bright and I believe Elon Musk represents the future.

And no, I’m not going to Mars.🙄",en,Retweet,35,3369,223,252,93692,2025-03-26 18:39:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905111167032267088',RT @amuse: LAWFARE? Why does every Democrat’s family seem to run an NGO? Ashley Biden’s NGO got $250K from Harry and Meghan—right as Harry faced deportation for lying on his visa. He stayed. https://t.co/fvK1xX9scn,en,Retweet,255,5540,1332,610,536997,2025-03-27 00:14:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GnBQgm4XAAA60hW.jpg
'1905087960825077883',"RT @cb_doge: BREAKING: Grok app is now available to all Android users in the US. 

 https://t.co/ZoWrdQnbO7",en,Retweet,111,4148,575,651,542648,2025-03-26 22:42:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1893227785277317121/vid/avc1/1080x1080/AgX9xTMcrvxY7Gmr.mp4?tag=16
'1905108793966346392',@AravSrinivas Congrats,en,Reply,9,429,23,59,16649,2025-03-27 00:05:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905106253669343619',@nicksortor Tech support always happy to help,en,Reply,33,2471,234,294,72000,2025-03-26 23:55:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905105374467830132',@waitbutwhy 😂,qme,Reply,7,404,22,93,26021,2025-03-26 23:51:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905102896233931021',@levie 😂,qme,Reply,4,291,17,59,16718,2025-03-26 23:41:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905102546063991237',"@teslaownersSV To be clear, this will affect the price of parts in Tesla cars that come from other countries. The cost impact is not trivial.",en,Reply,70,1258,157,181,86461,2025-03-26 23:40:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905101529469550669',@Sadie_NC 💯,qme,Reply,4,379,36,45,12833,2025-03-26 23:36:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905100566335730089',@tszzl ❤️🚀,qme,Reply,11,404,33,55,15143,2025-03-26 23:32:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905087935994606017',@repdarrellissa 💯,qme,Reply,6,495,39,56,15463,2025-03-26 22:42:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905087804184371214',💯,art,Tweet,774,51750,5792,1756,5556789,2025-03-26 22:41:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905069785760555511',RT @alx: BREAKING: Elon Musk’s America PAC announces the first recipient of $1 Million out of Wisconsin for signing their Petition In Opposition To Activist Judges.,en,Retweet,86,6122,1017,321,1103587,2025-03-26 21:30:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905087478190551413',@ElonClipsX True,en,Reply,9,466,36,65,14825,2025-03-26 22:40:24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905085621384704173',@Geiger_Capital True,en,Reply,11,782,42,61,58312,2025-03-26 22:33:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905085519844815071',@Teslarati Great,en,Reply,12,764,49,52,24169,2025-03-26 22:32:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1904958160055525591',RT @cb_doge: BREAKING: 𝕏 is now the #1 news app on the AppStore in Singapore. https://t.co/usNdQ0VCm3,en,Retweet,88,6705,752,509,730250,2025-03-26 14:06:32,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1904958101964701696/pu/vid/avc1/720x720/7ENrkvMqtEyIeVdg.mp4?tag=12
'1905081356360577445',https://t.co/b3VAQQcKGj,zxx,Tweet,1559,87476,8485,4247,6393934,2025-03-26 22:16:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/ext_tw_video/1904654122726436864/pu/vid/avc1/720x724/VUE4mTC1dq4D01dX.mp4?tag=12
'1905081230439170291',@DefiyantlyFree 💯,qme,Reply,8,1017,80,55,29537,2025-03-26 22:15:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'1905081150428611017',😂,art,Tweet,2586,114196,7755,2773,12821728,2025-03-26 22:15:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
